tourney_name,tourney_date,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,round,minutes,w_ace,w_df,w_svpt,w_1st_in,w_1st_won,w_2nd_won,w_sv_gms,w_bp_saved,w_bp_faced,l_ace,l_df,l_svpt,l_1st_in,l_1st_won,l_2nd_won,l_sv_gms,l_bp_saved,l_bp_faced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Australian Open,2014-01-13,104745,1,NA,Rafael Nadal,L,185,ESP,27.6,106071,NA,NA,Bernard Tomic,R,193,AUS,21.2,6-4 RET,R128,41,5,1,26,16,14,6,5,0,0,3,1,28,19,15,3,5,0,1,1,13130,57,810
Australian Open,2014-01-13,106423,NA,WC,Thanasi Kokkinakis,R,196,AUS,17.7,104997,NA,NA,Igor Sijsling,R,190,NED,26.4,7-6(4) 0-6 7-6(3) 6-2,R128,182,6,9,147,79,55,36,19,5,9,20,4,123,73,57,22,19,2,5,570,53,73,681
Australian Open,2014-01-13,106058,NA,NA,Jack Sock,R,185,USA,21.3,104735,NA,NA,Tobias Kamke,R,180,GER,27.6,7-6(5) 5-7 6-2 6-4,R128,242,16,12,148,74,54,43,21,10,12,6,8,136,66,51,36,21,6,10,95,582,78,651
Australian Open,2014-01-13,104792,25,NA,Gael Monfils,R,193,FRA,27.3,105992,NA,NA,Ryan Harrison,R,183,USA,21.6,6-4 6-4 6-4,R128,111,10,5,78,51,44,17,15,0,0,2,1,93,57,42,17,15,1,4,32,1245,110,504
Australian Open,2014-01-13,104312,24,NA,Andreas Seppi,R,190,ITA,29.8,103720,NA,NA,Lleyton Hewitt,R,180,AUS,32.8,7-6(4) 6-3 5-7 5-7 7-5,R128,258,17,5,176,103,72,40,29,6,13,23,5,177,90,76,38,28,11,18,25,1360,43,1010
Australian Open,2014-01-13,105385,NA,NA,Donald Young,L,183,USA,24.4,104898,NA,NA,Robin Haase,R,190,NED,26.7,6-7(4) 7-6(2) 6-2 1-0 RET,R128,154,0,5,106,77,58,16,16,3,4,11,6,124,81,55,19,15,5,7,91,595,45,977
Australian Open,2014-01-13,105583,NA,Q,Dusan Lajovic,R,180,SRB,23.5,106298,NA,WC,Lucas Pouille,R,185,FRA,19.8,6-4 7-6(9) 4-6 6-3,R128,183,7,7,132,80,53,30,21,4,8,2,10,135,84,56,21,20,5,10,117,483,193,262
Australian Open,2014-01-13,105453,16,NA,Kei Nishikori,R,178,JPN,24,104594,NA,NA,Marinko Matosevic,R,194,AUS,28.4,6-3 5-7 6-2 4-6 6-2,R128,221,6,5,143,96,69,26,23,6,9,13,9,172,103,68,30,24,8,15,17,1915,54,856
Australian Open,2014-01-13,105683,11,NA,Milos Raonic,R,196,CAN,23,104593,NA,NA,Daniel Gimeno Traver,R,185,ESP,28.4,7-6(2) 6-1 4-6 6-2,R128,144,21,7,101,65,56,17,18,3,6,5,5,122,69,43,25,19,13,20,11,2860,77,662
Australian Open,2014-01-13,103812,NA,NA,Victor Hanescu,R,198,ROU,32.4,105376,NA,Q,Peter Gojowczyk,R,185,GER,24.4,7-6(5) 7-6(5) 6-3,R128,136,8,4,120,78,59,24,17,5,6,7,6,104,57,44,22,16,5,7,76,665,135,423
