last_initial,full_name,country_code
Fognini F.,Fabio Fognini,ITA
Shang J.,Shang Juncheng,CHN
Ruud C.,Casper Ruud,NOR
Coric B.,Borna Coric,CRO
Struff J.L.,Jan-Lennard Struff,GER
Dimitrov G.,Grigor Dimitrov,BUL
Shapovalov D.,Denis Shapovalov,CAN
Tiafoe F.,Frances Tiafoe,USA
Thompson J.,Jordan Thompson,AUS
Zhang Zh.,Zhang Zhizhen,CHN
Berrettini M.,Matteo Berrettini,ITA
Nakashima B.,Brandon Nakashima,USA
Monfils G.,Gaël Monfils,FRA
Medvedev D.,Daniil Medvedev,RUS
Wawrinka S.,Stan Wawrinka,SUI
Muller A.,Alexandre Müller,FRA
Altmaier D.,Daniel Altmaier,GER
Alcaraz C.,Carlos Alcaraz,ESP
Harris L.,Lloyd Harris,RSA
Cazaux A.,Arthur Cazaux,FRA
Humbert U.,Ugo Humbert,FRA
Vukic A.,Aleksandar Vukic,AUS
Bublik A.,Alexander Bublik,KAZ
Van De Zandschulp B.,Botic van de Zandschulp,NED
Bautista Agut R.,Roberto Bautista Agut,ESP
Sonego L.,Lorenzo Sonego,ITA
Griekspoor T.,Tallon Griekspoor,NED
Sinner J.,Jannik Sinner,ITA
Virtanen O.,Otto Virtanen,FIN
Paul T.,Tommy Paul,USA
Kecmanovic M.,Miomir Kecmanovic,SRB
Nishioka Y.,Yoshihito Nishioka,JPN
Seyboth Wild T.,Thiago Seyboth Wild,BRA
Mpetshi G.,Giovanni Mpetshi Perricard,FRA
Musetti L.,Lorenzo Musetti,ITA
Darderi L.,Luciano Darderi,ITA
Hurkacz H.,Hubert Hurkacz,POL
De Minaur A.,Alex de Minaur,AUS
Munar J.,Jaume Munar,ESP
Popyrin A.,Alexei Popyrin,AUS
Etcheverry T.,Tomás Martín Etcheverry,ARG
Comesana F.,Francisco Comesaña,ARG
Shelton B.,Ben Shelton,USA
Fearnley J.,Jacob Fearnley,GBR
Walton A.,Adam Walton,AUS
Zverev A.,Alexander Zverev,GER
Djokovic N.,Novak Djokovic,SRB
Fils A.,Arthur Fils,FRA
Tsitsipas S.,Stefanos Tsitsipas,GRE
Rune H.,Holger Rune,DEN
Giron M.,Marcos Giron,USA
Draper J.,Jack Draper,GBR
Cobolli F.,Flavio Cobolli,ITA
Norrie C.,Cameron Norrie,GBR
Fritz T.,Taylor Fritz,USA
Halys Q.,Quentin Halys,FRA
Khachanov K.,Karen Khachanov,RUS
Safiullin R.,Roman Safiullin,FIN
Ruusuvuori E.,Emil Ruusuvuori,FRA
Pouille L.,Lucas Pouille,FRA
Rinderknech A.,Arthur Rinderknech,CZE
Machac T.,Tomas Machac,CHI
Tabilo A.,Alejandro Tabilo,AUS
Kokkinakis T.,Thanasi Kokkinakis,NA
